"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","birth_name","field_title","party_past","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
175420,"Dirk-Ulrich Mende","https://www.abgeordnetenwatch.de/profile/dirk-ulrich-mende","Dirk-Ulrich","Mende","m","1957","1","SPD","Volljurist (2. Staatsexamen) ","Celle","Geschäftsführer Niedersächsicher Städtetag","4","4",NA,NA,NA,58124,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/dirk-ulrich-mende","2023-01-25",NA,NA,59048,418,"Landesliste Niedersachsen (Bundestag 2021 - 2025)",NA,10784,"44 - Celle - Uelzen (Bundestag 2021 - 2025)",NA,NA,"moved_up",52.624056,10.081052
179603,"Emily Vontz","https://www.abgeordnetenwatch.de/profile/emily-vontz","Emily","Vontz","f","2000","1","SPD",NA,"Losheim / Berlin","Mitglied des Bundestages","9","9",NA,NA,NA,57246,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/emily-vontz","2023-01-01",NA,NA,58170,NA,NA,NA,NA,NA,NA,NA,"moved_up",NA,NA
175390,"Alexander Bartz","https://www.abgeordnetenwatch.de/profile/alexander-bartz","Alexander","Bartz","m","1984","1","SPD","Betriebswirt","Vechta","MdB","3","3",NA,NA,NA,57240,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/alexander-bartz","2022-11-08",NA,NA,58164,418,"Landesliste Niedersachsen (Bundestag 2021 - 2025)",NA,10772,"32 - Cloppenburg - Vechta (Bundestag 2021 - 2025)",20.9,NA,"moved_up",52.7310691,8.2873162
146806,"Daniel Rinkert","https://www.abgeordnetenwatch.de/profile/daniel-rinkert","Daniel","Rinkert","m","1987","1","SPD","Diplom Jurist","Grevenbroich ","Bundestagsabgeordneter","13","13",NA,NA,NA,57091,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/daniel-rinkert","2022-10-01",NA,NA,58015,NA,NA,NA,10848,"108 - Neuss I (Bundestag 2021 - 2025)",NA,NA,"moved_up",51.0905783,6.5835365
158872,"Nils Gründer","https://www.abgeordnetenwatch.de/profile/nils-gruender","Nils","Gründer","m","1997","4","FDP",NA,NA,"Account-Manager / Student ","4","4",NA,NA,NA,56410,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/nils-gruender","2022-08-02",NA,NA,57334,NA,NA,NA,10972,"232 - Amberg (Bundestag 2021 - 2025)",NA,NA,"moved_up",NA,NA
147377,"Michael Sacher","https://www.abgeordnetenwatch.de/profile/michael-sacher","Michael","Sacher","m","1964","5","Bündnis 90/Die Grünen","Buchhändler","Unna","Buchhändler","6","6","Siehmann",NA,NA,56408,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/michael-sacher","2022-06-30",NA,"Nachgerückt für Oliver Krischer am 30.06.2022.",57332,419,"Landesliste Nordrhein-Westfalen (Bundestag 2021 - 2025)",28,10884,"144 - Unna I (Bundestag 2021 - 2025)",13.9,NA,"moved_up",51.5348835,7.689014
79415,"Daniela De Ridder","https://www.abgeordnetenwatch.de/profile/daniela-de-ridder","Daniela","De Ridder","f","1962","1","SPD","Unternehmensberaterin",NA,"MdB","10","10",NA,NA,NA,56401,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/daniela-de-ridder","2022-06-03",NA,NA,57325,418,"Landesliste Niedersachsen (Bundestag 2021 - 2025)",NA,10771,"31 - Mittelems (Bundestag 2021 - 2025)",29.2,NA,"moved_up",NA,NA
175334,"Clara Bünger","https://www.abgeordnetenwatch.de/profile/clara-buenger","Clara","Bünger","f","1986","8","DIE LINKE","Volljuristin",NA,"wissenschaftliche Mitarbeiterin Bundestag/juristische Beraterin","17","16",NA,NA,NA,54422,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/clara-buenger","2022-01-05",NA,NA,55346,NA,NA,NA,10904,"164 - Erzgebirgskreis I (Bundestag 2021 - 2025)",NA,NA,"moved_up",NA,NA
175709,"Claudia Raffelhüschen","https://www.abgeordnetenwatch.de/profile/claudia-raffelhueschen","Claudia","Raffelhüschen","f","1968","4","FDP","Dipl.-Volkswirtin",NA,"MdB, Dozentin","62","60",NA,NA,NA,54380,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/claudia-raffelhueschen",NA,NA,NA,55304,410,"Landesliste Baden-Württemberg (Bundestag 2021 - 2025)",17,11021,"281 - Freiburg (Bundestag 2021 - 2025)",7.7,13833,"list",NA,NA
78863,"Jürgen Hardt","https://www.abgeordnetenwatch.de/profile/juergen-hardt","Jürgen","Hardt","m","1963","2","CDU","Dipl. Volkswirt","Wuppertal","MdB","26","26","Hardt",NA,NA,54378,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/juergen-hardt",NA,NA,NA,55302,419,"Landesliste Nordrhein-Westfalen (Bundestag 2021 - 2025)",22,10843,"103 - Solingen - Remscheid - Wuppertal II (Bundestag 2021 - 2025)",27.6,NA,"list",51.264018,7.1780374
