"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","occupation","statistic_questions","statistic_questions_answered","residence","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
108960,"Nils Schmid","https://www.abgeordnetenwatch.de/profile/nils-schmid","Nils","Schmid","m",1973,1,"SPD","Jurist","MdB",31,31,NA,NA,NA,NA,40161,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/nils-schmid",NA,NA,NA,40161,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",6,4386,"262 - Nürtingen (Bundestag 2017 - 2021)",19,NA,"list",48.6265854,9.3365463
108924,"Thomas Seitz","https://www.abgeordnetenwatch.de/profile/thomas-seitz","Thomas","Seitz","m",1967,9,"AfD","Volljurist (Rechtsassessor)","MdB",12,NA,NA,NA,NA,NA,40147,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/thomas-seitz",NA,NA,NA,40147,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",5,4407,"283 - Emmendingen - Lahr (Bundestag 2017 - 2021)",10.8,NA,"list",48.2209729,7.91642966812443
108832,"Benjamin Strasser","https://www.abgeordnetenwatch.de/profile/benjamin-strasser","Benjamin","Strasser","m",1987,4,"FDP","Assessor, zweites juristisches Staatsexamen","Bundestagsabgeordneter, Parl. Staatssekretär, Rechtsanwalt",16,16,NA,NA,NA,NA,40100,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/benjamin-strasser",NA,NA,NA,40100,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",8,4418,"294 - Ravensburg (Bundestag 2017 - 2021)",10.1,NA,"list",47.7811014,9.612468
108797,"Michel Brandt","https://www.abgeordnetenwatch.de/profile/michel-brandt","Michel","Brandt","m",1990,8,"DIE LINKE","Schauspieler","MdB, Schauspieler am Badischen Staatstheater",32,26,NA,NA,NA,NA,40082,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/michel-brandt",NA,NA,NA,40082,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",6,4395,"271 - Karlsruhe-Stadt (Bundestag 2017 - 2021)",7.6,NA,"list",49.01585255,8.40979805628213
108783,"Felix Schreiner","https://www.abgeordnetenwatch.de/profile/felix-schreiner","Felix","Schreiner","m",1986,2,"CDU",NA,"Bundestagsabgeordneter",17,17,NA,NA,NA,NA,40081,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/felix-schreiner",NA,NA,NA,40081,NA,NA,1,4412,"288 - Waldshut (Bundestag 2017 - 2021)",41.9,NA,"constituency",47.672925,8.2204166
108761,"Markus Frohnmaier","https://www.abgeordnetenwatch.de/profile/markus-frohnmaier","Markus","Frohnmaier","m",1991,9,"AfD","Rechtswissenschaft","MdB",6,NA,NA,NA,NA,NA,40069,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/markus-frohnmaier",NA,NA,NA,40069,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",4,4384,"260 - Böblingen (Bundestag 2017 - 2021)",11.2,NA,"list",48.684969,9.0113444
108754,"Marc Bernhard","https://www.abgeordnetenwatch.de/profile/marc-bernhard","Marc","Bernhard","m",1972,9,"AfD","Rechtsanwalt, MBA","MdB",8,4,NA,NA,NA,NA,40066,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/marc-bernhard",NA,NA,NA,40066,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",9,4395,"271 - Karlsruhe-Stadt (Bundestag 2017 - 2021)",10,NA,"list",49.01585255,8.40979805628213
108661,"Jessica Tatti","https://www.abgeordnetenwatch.de/profile/jessica-tatti","Jessica","Tatti","f",1981,229,"BSW","Sozialarbeiterin B.A.","MdB",15,12,NA,NA,"Ist am 23.10.2023 aus der Partei DIE LINKE ausgetreten. Seit dem 08.01.2024 Mitglied der Partei Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (BSW).",NA,40021,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/jessica-tatti",NA,NA,NA,40021,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",5,4413,"289 - Reutlingen (Bundestag 2017 - 2021)",6.2,NA,"list",48.4919508,9.2114144
108620,"Jens Brandenburg","https://www.abgeordnetenwatch.de/profile/jens-brandenburg","Jens","Brandenburg","m",1986,4,"FDP","Politikwissenschaft (Dr.), Studium der Volkswirtschaftslehre","MdB",16,16,"Walldorf","Dr.",NA,NA,39979,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/jens-brandenburg",NA,NA,NA,39979,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",9,4401,"277 - Rhein-Neckar (Bundestag 2017 - 2021)",8.1,NA,"list",49.3038134,8.6433518
108605,"Alexander Throm","https://www.abgeordnetenwatch.de/profile/alexander-throm","Alexander","Throm","m",1968,2,"CDU","Volljurist","MdB, Rechtsanwalt",21,17,NA,NA,NA,NA,39962,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/alexander-throm",NA,NA,NA,39962,NA,NA,1,4391,"267 - Heilbronn (Bundestag 2017 - 2021)",35.3,NA,"constituency",49.142291,9.218655
108563,"Gökay Akbulut","https://www.abgeordnetenwatch.de/profile/goekay-akbulut","Gökay","Akbulut","f",1982,8,"DIE LINKE","Sozialwissenschaftlerin","MdB",31,31,NA,NA,NA,NA,39953,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/goekay-akbulut",NA,NA,NA,39953,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",3,4399,"275 - Mannheim (Bundestag 2017 - 2021)",7.4,NA,"list",49.4892913,8.4673098
