"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
79233,"Jens Koeppen","https://www.abgeordnetenwatch.de/profile/jens-koeppen","Jens","Koeppen","m",1962,2,"CDU","Meister Industrieelektronik; Meister Elektroinstallateurhandwerk",NA,"MdB",13,5,NA,NA,NA,39372,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/jens-koeppen",NA,NA,NA,39372,59,"Landesliste Brandenburg (Bundestag 2009-2013)",4,1779,"58 - Uckermark - Barnim I (Bundestag 2009-2013)",25.9,NA,NA,53.16850625,13.8358573070313
79232,"Tom Koenigs","https://www.abgeordnetenwatch.de/profile/tom-koenigs","Tom","Koenigs","m",1944,5,"Bündnis 90/Die Grünen","Betriebswirt",NA,"Mitglied des Bundestages",NA,NA,NA,NA,NA,39369,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/tom-koenigs",NA,NA,NA,39369,61,"Landesliste Hessen (Bundestag 2009-2013)",4,1606,"174 - Gießen (Bundestag 2009-2013)",8.7,NA,NA,50.5862066,8.6742306
79231,"Hartmut Koschyk","https://www.abgeordnetenwatch.de/profile/hartmut-koschyk","Hartmut","Koschyk","m",1959,3,"CSU","Geschäftsführer",NA,"Mitglied des Bundestages",NA,NA,NA,NA,NA,39367,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/hartmut-koschyk",NA,NA,NA,39367,57,"Landesliste Bayern (Bundestag 2009-2013)",8,1528,"237 - Bayreuth (Bundestag 2009-2013)",50.9,NA,NA,49.9427202,11.5763079
79230,"Rüdiger Kruse","https://www.abgeordnetenwatch.de/profile/ruediger-kruse","Rüdiger","Kruse","m",1961,2,"CDU","Studium der Medizin",NA,"MdB",31,29,NA,NA,NA,39364,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ruediger-kruse",NA,NA,NA,39364,19,"Landesliste Hamburg (Bundestag 2009-2013)",4,873,"21 - Hamburg Eimsbüttel (Bundestag 2009-2013)",31.3,NA,NA,53.60628195,9.92298178752683
79228,"Oliver Krischer","https://www.abgeordnetenwatch.de/profile/oliver-krischer","Oliver","Krischer","m",1969,5,"Bündnis 90/Die Grünen","Biologe","Düren","MdB, Minister für Umwelt, Naturschutz und Verkehr ",31,24,NA,NA,NA,39358,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/oliver-krischer",NA,NA,NA,39358,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",8,1578,"91 - Düren (Bundestag 2009-2013)",6.3,NA,NA,50.8031684,6.4820806
79227,"Günter Krings","https://www.abgeordnetenwatch.de/profile/guenter-krings","Günter","Krings","m",1969,2,"CDU","Studium der Rechtswissenschaften","Moenchengladbach","MdB",9,8,"Dr.",NA,NA,39356,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/guenter-krings",NA,NA,NA,39356,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",31,1687,"110 - Mönchengladbach (Bundestag 2009-2013)",45.6,NA,NA,51.1947131,6.4353792
79226,"Gunther Krichbaum","https://www.abgeordnetenwatch.de/profile/gunther-krichbaum","Gunther","Krichbaum","m",1964,2,"CDU","Jurist",NA,"Bundestagsabgeordneter",17,16,NA,NA,NA,39353,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/gunther-krichbaum",NA,NA,NA,39353,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",3,1724,"279 - Pforzheim (Bundestag 2009-2013)",40.7,NA,NA,48.8908846,8.7029532
79225,"Michael Kretschmer","https://www.abgeordnetenwatch.de/profile/michael-kretschmer","Michael","Kretschmer","m",1975,2,"CDU","Wirtschaftsingenieur",NA,"Ministerpräsident des Freistaates Sachsens, Landesvorsitzender der CDU Sachsen",83,NA,NA,NA,NA,39350,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/michael-kretschmer",NA,NA,NA,39350,67,"Landesliste Sachsen (Bundestag 2009-2013)",3,782,"158 - Görlitz (Bundestag 2009-2013)",42.4,NA,NA,51.1563185,14.991018
79224,"Jutta Krellmann","https://www.abgeordnetenwatch.de/profile/jutta-krellmann","Jutta","Krellmann","f",1956,8,"DIE LINKE","Chemielaborantin / Ökonomin",NA,"MdB",17,16,NA,NA,NA,39347,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/jutta-krellmann",NA,NA,NA,39347,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",5,1624,"47 - Hameln-Pyrmont - Holzminden (Bundestag 2009-2013)",8.4,NA,NA,51.9600434,9.48021704932641
79223,"Anette Kramme","https://www.abgeordnetenwatch.de/profile/anette-kramme","Anette","Kramme","f",1967,1,"SPD","Rechtsanwältin",NA,"MdB, Parlamentarische Staatssekretärin beim Ministerium für Arbeit und Soziales",13,13,NA,NA,NA,39345,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/anette-kramme",NA,NA,NA,39345,57,"Landesliste Bayern (Bundestag 2009-2013)",12,1528,"237 - Bayreuth (Bundestag 2009-2013)",20.7,NA,NA,49.9427202,11.5763079
79221,"Stephan Kühn","https://www.abgeordnetenwatch.de/profile/stephan-kuehn","Stephan","Kühn","m",1979,5,"Bündnis 90/Die Grünen","Dipl. Soziologe",NA,"MdB",34,33,NA,NA,NA,39342,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/stephan-kuehn",NA,NA,NA,39342,67,"Landesliste Sachsen (Bundestag 2009-2013)",2,781,"161 - Dresden II - Bautzen II (Bundestag 2009-2013)",12.4,NA,NA,51.09521,13.8593606548723
79219,"Bettina Kudla","https://www.abgeordnetenwatch.de/profile/bettina-kudla","Bettina","Kudla","f",1962,2,"CDU","Wirtschaftsprüferin",NA,"Mitglied des Bundestages",NA,NA,NA,NA,NA,39339,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/bettina-kudla",NA,NA,NA,39339,67,"Landesliste Sachsen (Bundestag 2009-2013)",4,276,"153 - Leipzig I (Bundestag 2009-2013)",33.3,NA,NA,51.3430218,12.3811345
79217,"Renate Künast","https://www.abgeordnetenwatch.de/profile/renate-kuenast","Renate","Künast","f",1955,5,"Bündnis 90/Die Grünen","Juristin und Sozialarbeiterin",NA,"MdB",41,29,NA,NA,NA,39336,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/renate-kuenast",NA,NA,NA,39336,58,"Landesliste Berlin (Bundestag 2009-2013)",1,1539,"82 - Berlin-Tempelhof - Schöneberg (Bundestag 2009-2013)",26.3,NA,NA,52.4404422,13.3882887235007
79216,"Katrin Kunert","https://www.abgeordnetenwatch.de/profile/katrin-kunert","Katrin","Kunert","f",1964,8,"DIE LINKE","Diplom-Ingenieurin (FH)",NA,"Mitglied des Bundestages",NA,NA,NA,NA,NA,39333,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/katrin-kunert",NA,NA,NA,39333,68,"Landesliste Sachsen-Anhalt (Bundestag 2009-2013)",3,1516,"67 - Altmark (Bundestag 2009-2013)",33.4,NA,NA,52.68663905,11.5401196899471
79215,"Karl Lauterbach","https://www.abgeordnetenwatch.de/profile/karl-lauterbach","Karl","Lauterbach","m",1963,1,"SPD","Universitätsprofessor",NA,"Bundesminister für Gesundheit, MdB",638,NA,"Prof. Dr.",NA,NA,39330,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/karl-lauterbach",NA,NA,NA,39330,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",49,1666,"102 - Leverkusen - Köln IV (Bundestag 2009-2013)",37.1,NA,NA,51.02109895,7.02317813364239
79214,"Ulrich Lange","https://www.abgeordnetenwatch.de/profile/ulrich-lange","Ulrich","Lange","m",1969,3,"CSU","Rechtsanwalt",NA,"MdB",13,13,NA,NA,NA,39327,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ulrich-lange",NA,NA,NA,39327,NA,NA,NA,1571,"254 - Donau-Ries (Bundestag 2009-2013)",52.6,NA,"constituency",48.8148705,10.69735
79213,"Christian Lange","https://www.abgeordnetenwatch.de/profile/christian-lange-0","Christian","Lange","m",1964,1,"SPD","Jurist",NA,"MdB",12,NA,NA,NA,NA,39325,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/christian-lange-0",NA,NA,NA,39325,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",4,1523,"269 - Backnang - Schwäbisch Gmünd (Bundestag 2009-2013)",24.9,NA,NA,48.89673075,9.8938652450411
79212,"Katharina Landgraf","https://www.abgeordnetenwatch.de/profile/katharina-landgraf","Katharina","Landgraf","f",1954,2,"CDU","Studium Meliorationswesen",NA,"MdB",12,NA,NA,NA,NA,39322,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/katharina-landgraf",NA,NA,NA,39322,67,"Landesliste Sachsen (Bundestag 2009-2013)",5,784,"155 - Leipzig-Land (Bundestag 2009-2013)",41.7,NA,NA,51.22391185,12.5529468541132
79211,"Norbert Lammert","https://www.abgeordnetenwatch.de/profile/norbert-lammert","Norbert","Lammert","m",1948,2,"CDU","Diplomsozialwissenschaftler",NA,"Bundestagspräsident, Präsident des Deutschen Bundestages",NA,NA,NA,NA,NA,39319,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/norbert-lammert",NA,NA,NA,39319,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",1,1545,"141 - Bochum I (Bundestag 2009-2013)",31,NA,NA,51.4661548,7.18415476225786
79210,"Andreas Lämmel","https://www.abgeordnetenwatch.de/profile/andreas-laemmel","Andreas","Lämmel","m",1959,2,"CDU","Dipl. Ingenieur FH",NA,"MdB",34,27,NA,NA,NA,39316,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/andreas-laemmel",NA,NA,NA,39316,67,"Landesliste Sachsen (Bundestag 2009-2013)",8,1574,"160 - Dresden I (Bundestag 2009-2013)",36.6,NA,NA,51.02580045,13.7706396232774
